name,language,frequency
Konstantinidis,gr,8
Group,gr,8
Papaioannou,gr,8
Alexiou,gr,7
Papazoglou,gr,7
Ioannou,gr,7
Papadimitriou,gr,7
Pavlidis,gr,7
Papadakis,gr,7
Palaiologos,gr,7
Doukas,gr,7
Nikolaidis,gr,7
Markopoulos,gr,7
Argyropoulos,gr,6
Sibyl,gr,6
Pappas,gr,6
Mavromichalis,gr,6
Vlachos,gr,6
Antoniadis,gr,6
Dimitriou,gr,6
Antonopoulos,gr,6
Makris,gr,6
Christopoulos,gr,6
Papageorgiou,gr,6
Giannakopoulos,gr,6
Papanikolaou,gr,6
Antoniou,gr,5
Lazaridis,gr,5
Spyropoulos,gr,5
Krestenitis,gr,5
Mitropoulos,gr,5
Xanthopoulos,gr,5
Apostolopoulos,gr,5
Samaras,gr,5
Ioannidis,gr,5
Dimitriadis,gr,5
Giannopoulos,gr,5
Politis,gr,5
Vasileiou,gr,5
Pasha,gr,5
Avgerinos,gr,5
Zaimis,gr,5
Papantoniou,gr,5
Papakonstantinou,gr,5
Deligiannis,gr,5
Diamantopoulos,gr,5
Petropoulos,gr,5
Stefanopoulos,gr,5
Petrakis,gr,4
Stefanidis,gr,4
Kallergis,gr,4
Angelis,gr,4
Oikonomopoulos,gr,4
Manolas,gr,4
Andreadis,gr,4
Panagiotopoulos,gr,4
Lykoudis,gr,4
Iliadis,gr,4
Vasilopoulos,gr,4
Hatzis,gr,4
Kyriazis,gr,4
Stamatis,gr,4
Margaritis,gr,4
Kollias,gr,4
García,sp,166
Martínez,sp,125
Fernández,sp,123
González,sp,115
Rodríguez,sp,115
López,sp,111
Sánchez,sp,91
Pérez,sp,86
Martín,sp,72
Gómez,sp,60
Hernández,sp,55
Álvarez,sp,55
Alonso,sp,54
Díaz,sp,53
Muñoz,sp,52
Moreno,sp,52
Ruiz,sp,49
Navarro,sp,44
Serrano,sp,40
Romero,sp,36
Castro,sp,35
Torres,sp,35
Jiménez,sp,35
Peña,sp,33
Blanco,sp,32
León,sp,30
Molina,sp,30
Gil,sp,29
Ortega,sp,29
Suárez,sp,28
Ramírez,sp,27
Vega,sp,26
Ferrer,sp,26
Vázquez,sp,26
Domínguez,sp,25
Ramos,sp,25
Gutiérrez,sp,24
Cruz,sp,24
Morales,sp,23
Lara,sp,23
Iglesias,sp,23
Herrera,sp,22
Rubio,sp,22
Ortiz,sp,21
Soler,sp,21
Delgado,sp,21
Espinosa,sp,20
Carrasco,sp,20
Castillo,sp,20
Vidal,sp,20
Medina,sp,19
Santos,sp,19
Garrido,sp,19
Cabrera,sp,18
Prieto,sp,18
Miguel,sp,18
Casas,sp,18
Luna,sp,18
Mora,sp,18
Sanz,sp,18
Núñez,sp,18
Marín,sp,17
Pons,sp,17
Gallego,sp,17
Mendoza,sp,17
Torre,sp,17
Reyes,sp,17
Aguilar,sp,17
Ríos,sp,16
Calvo,sp,16
Mas,sp,16
Cuesta,sp,16
Márquez,sp,16
Rey,sp,16
Merino,sp,16
Cano,sp,16
Burgos,sp,15
Silva,sp,15
Guerra,sp,15
Flores,sp,15
Serra,sp,15
Guerrero,sp,15
Herrero,sp,15
Conde,sp,15
Martí,sp,14
Rojo,sp,14
Crespo,sp,14
Parra,sp,14
Ribera,sp,14
Díez,sp,14
Wei,cz,118
Li,cz,89
Yang,cz,86
Yi,cz,78
Yu,cz,74
Jun,cz,71
Yan,cz,63
Jing,cz,61
Ying,cz,57
Hong,cz,55
Lin,cz,52
Hao,cz,49
Jie,cz,48
Xin,cz,48
Jian,cz,47
Lei,cz,45
Yuan,cz,44
Chen,cz,44
Zhen,cz,43
Bo,cz,42
Bin,cz,40
Feng,cz,39
Liang,cz,39
Yue,cz,39
Chao,cz,39
Hui,cz,38
Tao,cz,38
Yong,cz,37
Qing,cz,37
Fei,cz,36
Ping,cz,35
Zhang,cz,34
Cheng,cz,34
Yun,cz,33
Wang,cz,33
Jin,cz,33
Qi,cz,33
Xiang,cz,32
Qiang,cz,31
Ji,cz,31
Dan,cz,31
Zheng,cz,30
Peng,cz,30
Lu,cz,30
Ling,cz,30
Xi,cz,29
Zhi,cz,29
Wu,cz,29
Rong,cz,28
Kai,cz,27
Emperor,cz,27
Min,cz,26
Xu,cz,26
Gang,cz,26
Di,cz,25
Shu,cz,25
Tong,cz,25
Song,cz,25
Fu,cz,25
Xiao,cz,25
Ye,cz,24
Hua,cz,24
Ning,cz,24
Rui,cz,24
Sheng,cz,24
Qian,cz,23
Fang,cz,22
Huan,cz,22
Ke,cz,22
Xian,cz,22
Jia,cz,21
Na,cz,21
Fan,cz,21
He,cz,21
Ming,cz,21
Shi,cz,21
Chang,cz,20
Ting,cz,20
Zhao,cz,20
Dong,cz,20
Xuan,cz,19
