name,gender,language,frequency
Dirk,m,de,99
Jens,m,de,97
Oliver,m,de,96
Felix,m,de,95
Harald,m,de,94
Arthur,m,de,94
Jakob,m,de,94
Gerd,m,de,94
Maximilian,m,de,91
Jan,m,de,90
Erwin,m,de,87
Reinhard,m,de,87
Konrad,m,de,86
Eugen,m,de,85
Stephan,m,de,83
Lothar,m,de,82
Eberhard,m,de,80
Patrick,m,de,80
David,m,de,80
Oskar,m,de,79
Norbert,m,de,78
Willy,m,de,78
Bruno,m,de,75
Tim,m,de,72
Axel,m,de,72
Volker,m,de,70
Sven,m,de,70
Moritz,m,de,69
Marcel,m,de,69
Karl-Heinz,m,de,67
Roland,m,de,67
Gottfried,m,de,67
Walther,m,de,66
Jacob,m,de,65
Benjamin,m,de,63
Albrecht,m,de,62
Reinhold,m,de,62
Marco,m,de,61
Hans-Joachim,m,de,61
Steffen,m,de,58
Hans-Jürgen,m,de,56
Jochen,m,de,55
André,m,de,55
Hartmut,m,de,54
Arnold,m,de,53
René,m,de,51
Harry,m,de,50
Rüdiger,m,de,49
Marc,m,de,48
Fabian,m,de,48
Lars,m,de,47
Leopold,m,de,47
Torsten,m,de,47
Julian,m,de,46
Carsten,m,de,46
Olaf,m,de,46
Louis,m,de,46
Lutz,m,de,46
Holger,m,de,46
Udo,m,de,45
Henry,m,de,45
Kai,m,de,45
Clemens,m,de,44
Dietmar,m,de,44
Claus,m,de,43
Dietrich,m,de,43
Conrad,m,de,43
Christopher,m,de,42
Marcus,m,de,42
Kevin,m,de,42
Nikolaus,m,de,41
Simon,m,de,41
Sascha,m,de,41
Heiko,m,de,41
Wolf,m,de,41
Thorsten,m,de,40
Leo,m,de,39
Dennis,m,de,39
Detlef,m,de,39
Ingo,m,de,39
Hubert,m,de,38
Edmund,m,de,37
Henning,m,de,37
Manuel,m,de,37
Adolph,m,de,36
Helmuth,m,de,36
Dominik,m,de,35
Armin,m,de,35
Björn,m,de,34
Erhard,m,de,34
George,m,de,34
Wolfram,m,de,33
Edgar,m,de,33
Tom,m,de,33
Mark,m,de,33
Egon,m,de,32
Hanns,m,de,32
Nico,m,de,32
Adam,m,de,32
Karsten,m,de,32
Rudi,m,de,32
Jonas,m,de,32
Lukas,m,de,32
Wilfried,m,de,31
John,m,de,31
Mathias,m,de,30
Theo,m,de,30
Arno,m,de,30
Timo,m,de,29
Alois,m,de,29
Lorenz,m,de,29
Mario,m,de,29
Curt,m,de,29
Gregor,m,de,28
Waldemar,m,de,28
Leonhard,m,de,28
Justus,m,de,28
Winfried,m,de,27
Berthold,m,de,27
Caspar,m,de,27
Nils,m,de,27
Ewald,m,de,26
Mary,f,en,356
Susan,f,en,177
Elizabeth,f,en,176
Barbara,f,en,162
Sarah,f,en,132
Helen,f,en,118
Nancy,f,en,115
Margaret,f,en,113
Jennifer,f,en,106
Karen,f,en,98
Lisa,f,en,96
Amy,f,en,95
Ruth,f,en,93
Ann,f,en,90
Laura,f,en,89
Jane,f,en,87
Anne,f,en,85
Linda,f,en,82
Carol,f,en,82
Patricia,f,en,80
Alice,f,en,80
Emily,f,en,78
Anna,f,en,78
Julie,f,en,76
Deborah,f,en,71
Ellen,f,en,68
Rebecca,f,en,67
Joan,f,en,66
Jean,f,en,66
Janet,f,en,62
Catherine,f,en,61
Betty,f,en,59
Dorothy,f,en,59
Judith,f,en,58
Kathleen,f,en,56
Cynthia,f,en,56
Sharon,f,en,56
Christine,f,en,56
Rachel,f,en,55
Kim,f,en,55
Julia,f,en,53
Carolyn,f,en,53
Katherine,f,en,52
Jessica,f,en,51
Leslie,f,en,51
Kate,f,en,51
Martha,f,en,51
Michelle,f,en,50
Diane,f,en,50
Stephanie,f,en,50
Heather,f,en,50
Melissa,f,en,49
Donna,f,en,49
Sara,f,en,49
Jill,f,en,49
Frances,f,en,47
Virginia,f,en,47
Lynn,f,en,46
Louise,f,en,46
The,f,en,46
Amanda,f,en,45
Pamela,f,en,45
Beth,f,en,43
Grace,f,en,42
Lauren,f,en,42
Sandra,f,en,42
Andrea,f,en,41
Judy,f,en,41
Marion,f,en,40
Robin,f,en,40
Sally,f,en,39
Erin,f,en,39
Elaine,f,en,39
Marilyn,f,en,39
Kelly,f,en,37
Lucy,f,en,37
Katie,f,en,37
Kay,f,en,36
Annie,f,en,35
Paula,f,en,35
Gail,f,en,34
Claire,f,en,34
Peggy,f,en,34
Caroline,f,en,34
Clara,f,en,33
Edith,f,en,33
Wendy,f,en,32
Charlotte,f,en,32
Maria,f,en,32
Jeanne,f,en,32
Doris,f,en,32
Joyce,f,en,32
Bonnie,f,en,31
Angela,f,en,31
Harriet,f,en,31
Gertrude,f,en,31
Gloria,f,en,31
Florence,f,en,31
Sheila,f,en,29
Tina,f,en,29
Esther,f,en,29
Lori,f,en,29
Kathy,f,en,29
Ashley,f,en,29
Lois,f,en,29
Eleanor,f,en,29
Suzanne,f,en,29
June,f,en,29
Victoria,f,en,28
Marie,f,en,28
Beverly,f,en,28
Nicole,f,en,28
Jenny,f,en,28
Carrie,f,en,28
Josephine,f,en,28
Megan,f,en,28
Emma,f,en,27
Lillian,f,en,27
Laurie,f,en,27
Shirley,f,en,27
Kristin,f,en,27
Cheryl,f,en,26
Danielle,f,en,26
Natalie,f,en,26
Nina,f,en,26
Diana,f,en,26
Dana,f,en,25
Marjorie,f,en,25
Liz,f,en,25
Molly,f,en,25
Jacqueline,f,en,25
Hannah,f,en,25
Kimberly,f,en,25
Debbie,f,en,25
Rose,f,en,25
Alexandra,f,en,24
Allison,f,en,24
Brenda,f,en,24
Jackie,f,en,24
Sylvia,f,en,24
Evelyn,f,en,24
Sue,f,en,24
Jamie,f,en,24
Tracy,f,en,23
Irene,f,en,23
Mildred,f,en,23
Cindy,f,en,23
Michele,f,en,22
Ethel,f,en,22
Katharine,f,en,22
Cathy,f,en,22
Erica,f,en,22
Kathryn,f,en,22
Maureen,f,en,22
Phyllis,f,en,22
Gina,f,en,22
Vivian,f,en,22
Alison,f,en,21
Jo,f,en,21
Valerie,f,en,21
Vanessa,f,en,21
Kristen,f,en,21
Vicki,f,en,20
Isabel,f,en,20
Sandy,f,en,20
Brooke,f,en,20
Courtney,f,en,19
Edna,f,en,19
Holly,f,en,19
Anita,f,en,19
Audrey,f,en,19
Lorraine,f,en,19
Claudia,f,en,18
Carole,f,en,18
Mabel,f,en,18
Rita,f,en,18
Pat,f,en,18
Christina,f,en,18
Gladys,f,en,18
Maggie,f,en,18
Joy,f,en,18
Eliza,f,en,18
Wanda,f,en,17
Naomi,f,en,17
Shannon,f,en,17
Carla,f,en,17
Janice,f,en,17
Lucille,f,en,17
Connie,f,en,17
Debra,f,en,17
Jan,f,en,17
Eileen,f,en,17
Constance,f,en,17
Terry,f,en,16
Dawn,f,en,16
Meg,f,en,16
Becky,f,en,16
Colleen,f,en,16
Tiffany,f,en,16
Olive,f,en,16
Alicia,f,en,16
Ida,f,en,16
Meredith,f,en,16
Adrienne,f,en,16
Lindsay,f,en,16
Erika,f,en,15
Thelma,f,en,15
Terri,f,en,15
Regina,f,en,15
Jessie,f,en,15
Georgia,f,en,15
Leah,f,en,15
Annette,f,en,15
Denise,f,en,15
Roberta,f,en,15
Jen,f,en,14
Dee,f,en,14
Ella,f,en,14
Rosemary,f,en,14
Taylor,f,en,14
Pam,f,en,14
Margo,f,en,14
Lydia,f,en,14
Crystal,f,en,14
Nellie,f,en,14
Gretchen,f,en,14
Eunice,f,en,14
Toni,f,en,13
Abby,f,en,13
Melanie,f,en,13
Maxine,f,en,13
Tanya,f,en,13
Arlene,f,en,13
Samantha,f,en,13
Marcia,f,en,13
Joanna,f,en,13
Hazel,f,en,12
Tara,f,en,12
Beatrice,f,en,12
Joanne,f,en,12
Melinda,f,en,12
Marguerite,f,en,12
Deb,f,en,12
Nan,f,en,12
Yvonne,f,en,12
Shelley,f,en,12
Amelia,f,en,12
Priscilla,f,en,12
Jennie,f,en,12
Patti,f,en,12
Ada,f,en,12
Teresa,f,en,12
Nora,f,en,12
Nikki,f,en,12
Eva,f,en,12
Heidi,f,en,11
